t	desired	actual	limit	b-cast	f-avg	f-sdev	f-g0	f-g1	f-g2	f-g3	f-g4	f-g5	f-g6	f-g7	f-g8	f-g9	d-g0	g0	d-g1	g1	d-g2	g2	d-g3	g3	d-g4	g4	d-g5	g5	d-g6	g6	d-g7	g7	d-g8	g8	d-g9	g9	
0	455	455	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	45	45	39	39	51	51	43	43	31	31	37	37	50	50	46	46	67	67	46	46	
1	443	443	 600	0	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	41	41	39	39	57	57	27	27	40	40	32	32	53	53	48	48	66	66	40	40	
2	411	411	 600	0	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	35	35	38	38	49	49	35	35	46	46	38	38	48	48	36	36	55	55	31	31	
3	415	415	 600	1	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	44	44	36	36	55	55	35	35	41	41	32	32	44	44	36	36	51	51	41	41	
4	415	415	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	38	38	38	38	47	47	32	32	48	48	29	29	47	47	39	39	68	68	29	29	
5	419	419	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	35	35	50	50	40	40	35	35	44	44	24	24	43	43	43	43	67	67	38	38	
6	391	391	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	31	31	45	45	41	41	28	28	36	36	29	29	28	28	43	43	61	61	49	49	
7	447	447	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	38	38	61	61	26	26	43	43	62	62	18	18	54	54	57	57	50	50	38	38	
8	378	378	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	25	25	31	31	37	37	32	32	42	42	30	30	45	45	42	42	57	57	37	37	
9	426	426	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	50	50	48	48	53	53	35	35	47	47	21	21	39	39	47	47	62	62	24	24	
10	377	377	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	53	53	31	31	31	31	26	26	44	44	34	34	40	40	36	36	60	60	22	22	
11	410	410	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	34	34	45	45	51	51	33	33	51	51	29	29	27	27	43	43	58	58	39	39	
12	387	387	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	38	38	30	30	35	35	18	18	54	54	26	26	37	37	43	43	67	67	39	39	
