t	desired	actual	limit	b-cast	f-avg	f-sdev	f-g0	f-g1	f-g2	f-g3	f-g4	f-g5	f-g6	f-g7	f-g8	f-g9	d-g0	g0	d-g1	g1	d-g2	g2	d-g3	g3	d-g4	g4	d-g5	g5	d-g6	g6	d-g7	g7	d-g8	g8	d-g9	g9	
0	389	389	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	50	50	33	33	26	26	34	34	52	52	25	25	58	58	50	50	29	29	32	32	
1	395	395	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	55	55	32	32	35	35	53	53	27	27	34	34	50	50	33	33	48	48	28	28	
2	416	416	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	62	62	30	30	41	41	38	38	43	43	41	41	51	51	46	46	23	23	41	41	
3	406	406	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	59	59	46	46	31	31	31	31	38	38	31	31	61	61	32	32	38	38	39	39	
4	421	421	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	39	39	39	39	21	21	33	33	33	33	49	49	69	69	54	54	38	38	46	46	
5	443	443	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	65	65	35	35	22	22	44	44	44	44	40	40	46	46	50	50	53	53	44	44	
6	397	397	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	61	61	58	58	13	13	25	25	48	48	29	29	48	48	50	50	38	38	27	27	
7	367	367	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	44	44	42	42	26	26	35	35	29	29	38	38	50	50	35	35	33	33	35	35	
8	449	449	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	67	67	38	38	36	36	40	40	34	34	40	40	53	53	51	51	33	33	57	57	
9	339	339	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	54	54	32	32	20	20	34	34	26	26	28	28	34	34	40	40	35	35	36	36	
10	333	333	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	42	42	34	34	29	29	37	37	37	37	19	19	43	43	28	28	37	37	27	27	
11	421	421	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	73	73	35	35	31	31	33	33	41	41	41	41	34	34	50	50	48	48	35	35	
12	395	395	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	69	69	25	25	18	18	29	29	39	39	45	45	45	45	39	39	35	35	51	51	
13	387	387	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	70	70	25	25	16	16	35	35	41	41	17	17	51	51	39	39	44	44	49	49	
14	414	414	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	73	73	32	32	23	23	17	17	58	58	38	38	38	38	52	52	45	45	38	38	
15	380	380	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	59	59	22	22	31	31	29	29	41	41	29	29	59	59	46	46	44	44	20	20	
16	386	386	 600	1	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	55	55	32	32	32	32	30	30	52	52	22	22	37	37	45	45	32	32	49	49	
17	403	403	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	67	67	29	29	28	28	38	38	41	41	34	34	44	44	50	50	44	44	28	28	
18	372	372	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	52	52	36	36	32	32	24	24	37	37	40	40	43	43	37	37	39	39	32	32	
19	360	360	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	36	36	36	36	23	23	20	20	41	41	21	21	49	49	48	48	47	47	39	39	
20	393	393	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	52	52	21	21	33	33	44	44	35	35	22	22	51	51	67	67	33	33	35	35	
21	409	409	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	67	67	30	30	36	36	29	29	39	39	27	27	52	52	50	50	33	33	46	46	
22	409	409	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	53	53	38	38	34	34	28	28	56	56	32	32	42	42	60	60	30	30	36	36	
23	358	358	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	65	65	33	33	29	29	17	17	28	28	29	29	41	41	36	36	39	39	41	41	
24	419	419	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	61	61	32	32	26	26	48	48	45	45	36	36	40	40	41	41	49	49	41	41	
25	439	439	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	73	73	42	42	34	34	22	22	46	46	49	49	52	52	36	36	39	39	46	46	
26	426	426	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	61	61	40	40	36	36	34	34	50	50	20	20	39	39	72	72	37	37	37	37	
27	403	403	 600	7	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	47	47	26	26	19	19	40	40	57	57	38	38	46	46	41	41	46	46	43	43	
28	391	391	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	50	50	34	34	42	42	27	27	42	42	22	22	44	44	66	66	28	28	36	36	
29	414	414	 600	1	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	57	57	35	35	28	28	22	22	51	51	28	28	57	57	62	62	46	46	28	28	
30	428	428	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	71	71	27	27	40	40	24	24	41	41	40	40	47	47	68	68	29	29	41	41	
31	399	399	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	47	47	20	20	27	27	29	29	38	38	28	28	58	58	55	55	49	49	48	48	
