t	desired	actual	limit	b-cast	f-avg	f-sdev	f-g0	f-g1	f-g2	f-g3	f-g4	f-g5	f-g6	f-g7	f-g8	f-g9	d-g0	g0	d-g1	g1	d-g2	g2	d-g3	g3	d-g4	g4	d-g5	g5	d-g6	g6	d-g7	g7	d-g8	g8	d-g9	g9	
0	451	451	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	55	55	41	41	36	36	43	43	51	51	49	49	71	71	30	30	41	41	34	34	
1	415	415	 600	8	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	49	49	47	47	42	42	23	23	43	43	28	28	62	62	35	35	49	49	37	37	
2	446	446	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	55	55	36	36	41	41	38	38	60	60	32	32	69	69	28	28	32	32	55	55	
3	408	408	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	36	36	33	33	40	40	34	34	64	64	32	32	70	70	30	30	38	38	31	31	
4	390	390	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	41	41	30	30	28	28	40	40	62	62	44	44	59	59	15	15	27	27	44	44	
5	442	442	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	48	48	30	30	42	42	36	36	67	67	44	44	75	75	32	32	25	25	43	43	
6	402	402	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	40	40	33	33	34	34	21	21	49	49	49	49	65	65	34	34	27	27	50	50	
7	410	410	 600	8	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	48	48	39	39	33	33	33	33	58	58	53	53	54	54	23	23	22	22	47	47	
8	393	393	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	33	33	35	35	23	23	26	26	42	42	51	51	70	70	37	37	39	39	37	37	
9	402	402	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	30	30	38	38	41	41	39	39	65	65	40	40	63	63	28	28	25	25	33	33	
10	415	415	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	46	46	32	32	33	33	41	41	65	65	56	56	42	42	30	30	28	28	42	42	
11	436	436	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	44	44	48	48	39	39	21	21	55	55	47	47	72	72	35	35	32	32	43	43	
12	435	435	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	40	40	26	26	46	46	41	41	64	64	37	37	66	66	42	42	29	29	44	44	
13	427	427	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	49	49	37	37	35	35	50	50	66	66	44	44	52	52	28	28	29	29	37	37	
14	378	378	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	52	52	28	28	33	33	18	18	71	71	20	20	59	59	15	15	22	22	60	60	
15	436	436	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	40	40	41	41	37	37	47	47	58	58	44	44	66	66	33	33	14	14	56	56	
16	391	391	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	44	44	29	29	55	55	38	38	45	45	36	36	54	54	25	25	28	28	37	37	
17	434	434	 600	7	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	48	48	40	40	31	31	36	36	72	72	46	46	65	65	35	35	24	24	37	37	
18	386	386	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	46	46	34	34	38	38	41	41	54	54	45	45	48	48	22	22	28	28	30	30	
19	409	409	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	44	44	22	22	40	40	50	50	64	64	32	32	55	55	24	24	37	37	41	41	
20	403	403	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	39	39	28	28	36	36	34	34	63	63	46	46	58	58	44	44	21	21	34	34	
21	417	417	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	36	36	38	38	40	40	33	33	68	68	41	41	59	59	23	23	29	29	50	50	
22	441	441	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	56	56	45	45	36	36	44	44	58	58	41	41	58	58	32	32	25	25	46	46	
23	428	428	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	43	43	33	33	61	61	34	34	60	60	41	41	41	41	37	37	39	39	39	39	
24	434	434	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	59	59	28	28	35	35	27	27	73	73	32	32	66	66	28	28	35	35	51	51	
25	396	396	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	45	45	26	26	22	22	32	32	62	62	62	62	40	40	41	41	17	17	49	49	
26	410	410	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	34	34	36	36	40	40	39	39	59	59	35	35	61	61	41	41	30	30	35	35	
27	431	431	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	73	73	36	36	24	24	35	35	59	59	42	42	68	68	37	37	23	23	34	34	
28	423	423	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	76	76	34	34	40	40	23	23	70	70	32	32	49	49	34	34	18	18	47	47	
29	461	461	 600	7	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	47	47	36	36	55	55	43	43	71	71	44	44	47	47	38	38	38	38	42	42	
30	448	448	 600	7	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	52	52	53	53	22	22	38	38	62	62	59	59	71	71	25	25	27	27	39	39	
31	460	460	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	60	60	26	26	33	33	44	44	64	64	58	58	61	61	38	38	26	26	50	50	
32	423	423	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	51	51	37	37	35	35	28	28	51	51	40	40	76	76	18	18	38	38	49	49	
33	362	362	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	44	44	17	17	29	29	32	32	46	46	36	36	59	59	33	33	27	27	39	39	
34	422	422	 600	10	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	48	48	37	37	35	35	33	33	69	69	40	40	66	66	26	26	30	30	38	38	
35	416	416	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	29	29	37	37	43	43	31	31	64	64	61	61	66	66	36	36	35	35	14	14	
36	390	390	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	42	42	30	30	37	37	26	26	63	63	52	52	47	47	32	32	24	24	37	37	
37	457	457	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	45	45	39	39	34	34	32	32	99	99	50	50	67	67	19	19	15	15	57	57	
38	430	430	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	36	36	29	29	38	38	32	32	86	86	53	53	42	42	22	22	37	37	55	55	
39	399	399	 600	1	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	54	54	44	44	25	25	33	33	59	59	31	31	65	65	25	25	31	31	32	32	
40	421	421	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	50	50	38	38	46	46	24	24	51	51	23	23	61	61	24	24	48	48	56	56	
41	449	449	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	62	62	44	44	42	42	32	32	71	71	41	41	55	55	21	21	34	34	47	47	
42	372	372	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	46	46	32	32	34	34	33	33	49	49	27	27	48	48	31	31	27	27	45	45	
43	458	458	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	57	57	21	21	38	38	42	42	63	63	44	44	63	63	31	31	38	38	61	61	
44	473	473	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	47	47	52	52	47	47	32	32	61	61	41	41	59	59	37	37	36	36	61	61	
45	497	497	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	55	55	57	57	64	64	23	23	65	65	36	36	76	76	38	38	21	21	62	62	
46	388	388	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	53	53	40	40	41	41	21	21	58	58	52	52	42	42	24	24	26	26	31	31	
47	400	400	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	38	38	33	33	40	40	37	37	72	72	40	40	61	61	13	13	30	30	36	36	
48	446	446	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	52	52	43	43	27	27	42	42	77	77	32	32	58	58	31	31	33	33	51	51	
49	426	426	 600	8	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	33	33	35	35	43	43	61	61	57	57	25	25	47	47	22	22	58	58	45	45	
50	390	390	 600	7	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	47	47	39	39	32	32	17	17	60	60	37	37	59	59	48	48	26	26	25	25	
51	449	449	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	47	47	43	43	48	48	38	38	50	50	48	48	60	60	37	37	35	35	43	43	
52	444	444	 600	7	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	38	38	40	40	34	34	34	34	93	93	55	55	70	70	19	19	28	28	33	33	
53	501	501	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	58	58	48	48	47	47	40	40	58	58	50	50	87	87	47	47	22	22	44	44	
54	387	387	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	31	31	36	36	46	46	43	43	64	64	32	32	46	46	28	28	27	27	34	34	
55	432	432	 600	1	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	56	56	43	43	43	43	35	35	52	52	29	29	59	59	32	32	23	23	60	60	
56	444	444	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	53	53	30	30	33	33	60	60	80	80	35	35	57	57	26	26	36	36	34	34	
57	475	475	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	45	45	27	27	48	48	33	33	73	73	36	36	73	73	51	51	40	40	49	49	
58	445	445	 600	7	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	51	51	34	34	48	48	47	47	57	57	40	40	55	55	39	39	24	24	50	50	
59	464	464	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	50	50	45	45	56	56	27	27	69	69	44	44	69	69	37	37	29	29	38	38	
60	537	537	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	63	63	43	43	56	56	39	39	82	82	62	62	78	78	30	30	25	25	59	59	
61	505	505	 600	7	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	56	56	47	47	43	43	24	24	81	81	48	48	63	63	57	57	26	26	60	60	
62	473	473	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	88	88	32	32	52	52	15	15	72	72	47	47	48	48	24	24	41	41	54	54	
63	484	484	 600	11	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	52	52	50	50	38	38	25	25	85	85	48	48	62	62	30	30	39	39	55	55	
64	430	430	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	49	49	38	38	52	52	32	32	68	68	33	33	61	61	17	17	28	28	52	52	
65	485	485	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	40	40	38	38	38	38	35	35	81	81	48	48	83	83	32	32	31	31	59	59	
66	467	467	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	49	49	27	27	37	37	51	51	65	65	48	48	55	55	37	37	38	38	60	60	
67	481	481	 600	7	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	57	57	53	53	53	53	25	25	77	77	39	39	70	70	26	26	16	16	65	65	
68	467	467	 600	1	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	50	50	50	50	33	33	43	43	64	64	44	44	53	53	35	35	49	49	46	46	
69	471	471	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	61	61	35	35	53	53	34	34	87	87	40	40	75	75	29	29	22	22	35	35	
70	491	491	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	52	52	56	56	35	35	34	34	74	74	70	70	70	70	31	31	33	33	36	36	
