t	desired	actual	limit	b-cast	f-avg	f-sdev	f-g0	f-g1	f-g2	f-g3	f-g4	f-g5	f-g6	f-g7	f-g8	f-g9	d-g0	g0	d-g1	g1	d-g2	g2	d-g3	g3	d-g4	g4	d-g5	g5	d-g6	g6	d-g7	g7	d-g8	g8	d-g9	g9	
0	345	345	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	15	15	25	25	35	35	40	40	42	42	42	42	48	48	32	32	39	39	27	27	
1	345	345	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	36	36	19	19	34	34	29	29	39	39	56	56	25	25	42	42	32	32	33	33	
2	377	377	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	28	28	25	25	36	36	28	28	31	31	39	39	43	43	44	44	52	52	51	51	
3	430	430	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	33	33	32	32	47	47	27	27	57	57	41	41	49	49	61	61	32	32	51	51	
4	406	406	 600	1	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	45	45	17	17	38	38	36	36	33	33	50	50	43	43	45	45	38	38	61	61	
5	399	399	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	32	32	32	32	39	39	42	42	34	34	41	41	44	44	49	49	32	32	54	54	
6	389	389	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	38	38	23	23	46	46	32	32	42	42	55	55	39	39	41	41	40	40	33	33	
7	350	350	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	38	38	32	32	25	25	33	33	35	35	50	50	37	37	41	41	27	27	32	32	
8	371	371	 600	11	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	22	22	31	31	43	43	45	45	40	40	34	34	54	54	38	38	28	28	36	36	
9	388	388	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	31	31	42	42	37	37	26	26	50	50	34	34	35	35	47	47	44	44	42	42	
10	380	380	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	21	21	35	35	41	41	42	42	55	55	36	36	50	50	37	37	36	36	27	27	
11	383	383	 600	1	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	42	42	26	26	37	37	40	40	35	35	27	27	43	43	39	39	50	50	44	44	
12	413	413	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	33	33	32	32	45	45	31	31	35	35	50	50	52	52	50	50	46	46	39	39	
13	397	397	 600	0	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	42	42	28	28	39	39	43	43	40	40	49	49	45	45	36	36	25	25	50	50	
14	384	384	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	51	51	17	17	48	48	42	42	32	32	36	36	54	54	24	24	36	36	44	44	
15	374	374	 600	8	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	33	33	24	24	24	24	45	45	26	26	25	25	52	52	65	65	39	39	41	41	
16	367	367	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	32	32	24	24	30	30	48	48	30	30	46	46	46	46	47	47	32	32	32	32	
17	356	356	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	30	30	27	27	51	51	37	37	26	26	26	26	35	35	42	42	39	39	43	43	
18	391	391	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	22	22	29	29	38	38	45	45	42	42	42	42	56	56	34	34	42	42	41	41	
19	392	392	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	38	38	18	18	28	28	43	43	40	40	55	55	47	47	34	34	41	41	48	48	
20	450	450	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	39	39	36	36	35	35	61	61	38	38	54	54	46	46	49	49	40	40	52	52	
21	419	419	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	47	47	30	30	31	31	35	35	49	49	36	36	44	44	48	48	45	45	54	54	
22	415	415	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	47	47	29	29	42	42	36	36	35	35	44	44	46	46	44	44	43	43	49	49	
23	381	381	 600	8	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	38	38	38	38	27	27	40	40	27	27	50	50	44	44	52	52	26	26	39	39	
24	374	374	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	45	45	37	37	45	45	23	23	34	34	33	33	34	34	45	45	40	40	38	38	
25	432	432	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	42	42	36	36	28	28	49	49	44	44	60	60	37	37	58	58	44	44	34	34	
26	395	395	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	42	42	32	32	30	30	38	38	33	33	34	34	46	46	46	46	39	39	55	55	
27	399	399	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	34	34	32	32	43	43	42	42	50	50	53	53	36	36	40	40	27	27	42	42	
28	385	385	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	32	32	33	33	24	24	51	51	44	44	39	39	61	61	42	42	24	24	35	35	
29	396	396	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	35	35	34	34	34	34	35	35	42	42	50	50	46	46	35	35	48	48	37	37	
30	354	354	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	33	33	31	31	16	16	48	48	19	19	30	30	58	58	56	56	32	32	31	31	
31	415	415	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	30	30	29	29	40	40	52	52	38	38	23	23	59	59	57	57	37	37	50	50	
32	424	424	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	35	35	34	34	41	41	48	48	29	29	49	49	47	47	49	49	38	38	54	54	
33	450	450	 600	8	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	36	36	30	30	40	40	41	41	54	54	53	53	48	48	53	53	39	39	56	56	
34	431	431	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	31	31	39	39	31	31	46	46	46	46	32	32	54	54	50	50	55	55	47	47	
