t	desired	actual	limit	b-cast	f-avg	f-sdev	f-g0	f-g1	f-g2	f-g3	f-g4	f-g5	f-g6	f-g7	f-g8	f-g9	d-g0	g0	d-g1	g1	d-g2	g2	d-g3	g3	d-g4	g4	d-g5	g5	d-g6	g6	d-g7	g7	d-g8	g8	d-g9	g9	
0	420	420	 600	1	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	31	31	26	26	39	39	46	46	58	58	38	38	29	29	47	47	52	52	54	54	
1	326	326	 600	1	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	19	19	40	40	23	23	38	38	37	37	32	32	30	30	22	22	31	31	54	54	
2	389	389	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	30	30	32	32	23	23	38	38	53	53	22	22	34	34	50	50	66	66	41	41	
3	395	395	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	23	23	46	46	35	35	31	31	54	54	34	34	31	31	38	38	55	55	48	48	
4	392	392	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	45	45	27	27	43	43	28	28	49	49	33	33	37	37	42	42	35	35	53	53	
5	425	425	 600	1	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	46	46	36	36	31	31	37	37	73	73	35	35	40	40	36	36	55	55	36	36	
6	385	385	 600	1	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	34	34	46	46	44	44	36	36	49	49	32	32	39	39	41	41	37	37	27	27	
7	394	394	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	36	36	30	30	18	18	29	29	80	80	19	19	39	39	46	46	46	46	51	51	
8	367	367	 600	1	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	33	33	39	39	38	38	28	28	31	31	28	28	43	43	40	40	49	49	38	38	
9	413	413	 600	1	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	44	44	32	32	28	28	37	37	56	56	34	34	36	36	32	32	53	53	61	61	
10	411	411	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	32	32	39	39	39	39	42	42	55	55	33	33	38	38	35	35	56	56	42	42	
11	415	415	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	38	38	27	27	41	41	31	31	66	66	38	38	30	30	45	45	54	54	45	45	
12	399	399	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	39	39	34	34	55	55	28	28	50	50	32	32	40	40	49	49	41	41	31	31	
13	391	391	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	39	39	42	42	41	41	34	34	62	62	29	29	38	38	25	25	42	42	39	39	
14	401	401	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	28	28	27	27	37	37	28	28	60	60	42	42	45	45	26	26	45	45	63	63	
15	374	374	 600	1	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	54	54	25	25	43	43	21	21	63	63	33	33	41	41	31	31	25	25	38	38	
16	402	402	 600	0	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	39	39	34	34	35	35	40	40	67	67	27	27	52	52	35	35	37	37	36	36	
17	368	368	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	25	25	37	37	45	45	40	40	51	51	27	27	32	32	35	35	26	26	50	50	
18	378	378	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	32	32	40	40	44	44	11	11	52	52	31	31	37	37	47	47	28	28	56	56	
19	427	427	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	54	54	34	34	41	41	37	37	58	58	35	35	39	39	39	39	61	61	29	29	
20	420	420	 600	1	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	27	27	25	25	54	54	19	19	71	71	36	36	44	44	45	45	52	52	47	47	
21	401	401	 600	1	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	37	37	35	35	39	39	36	36	43	43	35	35	53	53	44	44	39	39	40	40	
22	435	435	 600	1	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	41	41	36	36	50	50	52	52	54	54	37	37	51	51	45	45	29	29	40	40	
23	407	407	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	40	40	29	29	31	31	40	40	71	71	41	41	35	35	35	35	36	36	49	49	
24	384	384	 600	1	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	43	43	36	36	29	29	45	45	42	42	20	20	32	32	34	34	45	45	58	58	
25	375	375	 600	1	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	43	43	30	30	45	45	29	29	64	64	20	20	34	34	42	42	36	36	32	32	
26	411	411	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	43	43	36	36	30	30	29	29	56	56	34	34	41	41	50	50	42	42	50	50	
27	431	431	 600	0	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	42	42	34	34	40	40	42	42	59	59	36	36	47	47	43	43	41	41	47	47	
28	429	429	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	40	40	44	44	50	50	36	36	72	72	23	23	41	41	37	37	44	44	42	42	
29	375	375	 600	0	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	29	29	35	35	41	41	48	48	55	55	17	17	38	38	38	38	41	41	33	33	
30	342	342	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	43	43	20	20	40	40	22	22	47	47	26	26	23	23	30	30	45	45	46	46	
31	402	402	 600	1	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	26	26	41	41	38	38	55	55	54	54	36	36	32	32	48	48	30	30	42	42	
32	410	410	 600	1	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	33	33	40	40	49	49	40	40	62	62	44	44	19	19	34	34	29	29	60	60	
33	428	428	 600	1	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	27	27	47	47	46	46	46	46	79	79	36	36	25	25	39	39	37	37	46	46	
34	423	423	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	46	46	39	39	40	40	30	30	77	77	32	32	42	42	33	33	42	42	42	42	
35	426	426	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	31	31	39	39	35	35	23	23	54	54	27	27	43	43	56	56	71	71	47	47	
36	393	393	 600	0	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	19	19	49	49	39	39	53	53	53	53	23	23	44	44	40	40	25	25	48	48	
37	444	444	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	35	35	41	41	33	33	41	41	68	68	45	45	55	55	35	35	47	47	44	44	
38	393	393	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	26	26	36	36	25	25	23	23	64	64	34	34	47	47	52	52	40	40	46	46	
39	391	391	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	36	36	25	25	31	31	39	39	56	56	24	24	39	39	44	44	45	45	52	52	
40	412	412	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	46	46	52	52	22	22	47	47	68	68	17	17	39	39	43	43	41	41	37	37	
41	378	378	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	30	30	30	30	28	28	37	37	44	44	33	33	32	32	40	40	47	47	57	57	
42	404	404	 600	1	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	41	41	30	30	32	32	26	26	65	65	30	30	41	41	45	45	48	48	46	46	
43	419	419	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	36	36	40	40	17	17	39	39	66	66	26	26	50	50	38	38	47	47	60	60	
44	372	372	 600	0	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	31	31	55	55	28	28	18	18	52	52	32	32	34	34	38	38	47	47	37	37	
45	366	366	 600	1	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	40	40	35	35	30	30	29	29	56	56	24	24	25	25	31	31	36	36	60	60	
46	410	410	 600	1	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	34	34	37	37	40	40	29	29	52	52	35	35	50	50	33	33	49	49	51	51	
47	385	385	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	42	42	21	21	23	23	25	25	57	57	23	23	57	57	45	45	29	29	63	63	
48	374	374	 600	1	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	41	41	36	36	48	48	36	36	37	37	38	38	33	33	30	30	44	44	31	31	
49	383	383	 600	1	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	43	43	38	38	30	30	39	39	44	44	27	27	40	40	40	40	29	29	53	53	
50	414	414	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	39	39	58	58	30	30	32	32	64	64	25	25	23	23	45	45	31	31	67	67	
51	413	413	 600	0	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	32	32	38	38	42	42	22	22	80	80	35	35	33	33	51	51	40	40	40	40	
52	398	398	 600	1	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	49	49	34	34	40	40	26	26	54	54	36	36	38	38	36	36	43	43	42	42	
53	422	422	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	42	42	30	30	31	31	48	48	61	61	40	40	38	38	42	42	34	34	56	56	
54	400	400	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	40	40	27	27	27	27	37	37	68	68	28	28	46	46	44	44	40	40	43	43	
55	390	390	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	43	43	24	24	35	35	55	55	49	49	29	29	33	33	53	53	41	41	28	28	
56	419	419	 600	0	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	40	40	33	33	40	40	29	29	54	54	35	35	50	50	43	43	50	50	45	45	
