t	desired	actual	limit	b-cast	f-avg	f-sdev	f-g0	f-g1	f-g2	f-g3	f-g4	f-g5	f-g6	f-g7	f-g8	f-g9	d-g0	g0	d-g1	g1	d-g2	g2	d-g3	g3	d-g4	g4	d-g5	g5	d-g6	g6	d-g7	g7	d-g8	g8	d-g9	g9	
0	461	461	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	47	47	51	51	47	47	43	43	50	50	42	42	59	59	46	46	37	37	39	39	
1	445	445	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	52	52	45	45	51	51	39	39	59	59	48	48	45	45	47	47	33	33	26	26	
2	446	446	 600	9	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	53	53	50	50	26	26	36	36	66	66	50	50	53	53	49	49	15	15	48	48	
3	475	475	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	63	63	36	36	51	51	60	60	54	54	56	56	59	59	47	47	25	25	24	24	
4	457	457	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	49	49	43	43	35	35	55	55	47	47	39	39	60	60	39	39	34	34	56	56	
5	491	491	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	56	56	42	42	50	50	44	44	75	75	39	39	63	63	45	45	26	26	51	51	
6	470	470	 600	8	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	56	56	54	54	56	56	50	50	38	38	40	40	44	44	57	57	29	29	46	46	
7	487	487	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	60	60	45	45	39	39	50	50	67	67	42	42	55	55	54	54	26	26	49	49	
8	508	508	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	56	56	43	43	61	61	38	38	59	59	43	43	68	68	38	38	39	39	63	63	
9	501	501	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	57	57	51	51	45	45	37	37	61	61	52	52	68	68	50	50	40	40	40	40	
10	496	496	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	63	63	59	59	49	49	47	47	51	51	56	56	57	57	38	38	31	31	45	45	
11	520	520	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	81	81	55	55	50	50	52	52	51	51	34	34	72	72	40	40	30	30	55	55	
12	513	513	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	72	72	42	42	49	49	44	44	67	67	54	54	62	62	38	38	33	33	52	52	
13	456	456	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	64	64	46	46	44	44	55	55	59	59	40	40	63	63	17	17	35	35	33	33	
14	434	434	 600	7	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	53	53	39	39	40	40	33	33	45	45	48	48	46	46	59	59	27	27	44	44	
15	500	500	 600	8	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	71	71	36	36	56	56	41	41	54	54	51	51	76	76	45	45	30	30	40	40	
16	518	518	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	46	46	56	56	48	48	45	45	76	76	55	55	70	70	43	43	34	34	45	45	
17	453	453	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	63	63	44	44	56	56	35	35	68	68	23	23	63	63	39	39	17	17	45	45	
18	476	476	 600	7	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	40	40	50	50	50	50	48	48	49	49	56	56	52	52	33	33	46	46	52	52	
19	480	480	 600	1	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	57	57	31	31	50	50	58	58	46	46	54	54	60	60	53	53	31	31	40	40	
20	494	494	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	67	67	57	57	44	44	31	31	70	70	33	33	66	66	58	58	26	26	42	42	
21	451	451	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	57	57	49	49	50	50	46	46	43	43	44	44	56	56	33	33	35	35	38	38	
22	444	444	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	64	64	43	43	45	45	37	37	63	63	54	54	37	37	43	43	23	23	35	35	
23	484	484	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	55	55	55	55	53	53	48	48	67	67	40	40	62	62	42	42	20	20	42	42	
24	502	502	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	80	80	37	37	53	53	44	44	48	48	46	46	45	45	55	55	45	45	49	49	
25	477	477	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	68	68	42	42	53	53	33	33	43	43	48	48	63	63	39	39	32	32	56	56	
26	455	455	 600	9	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	76	76	41	41	56	56	35	35	52	52	32	32	45	45	37	37	34	34	47	47	
27	498	498	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	64	64	44	44	44	44	54	54	58	58	54	54	55	55	48	48	26	26	51	51	
28	481	481	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	53	53	50	50	50	50	43	43	58	58	52	52	51	51	46	46	25	25	53	53	
29	520	520	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	70	70	54	54	29	29	56	56	68	68	46	46	65	65	52	52	33	33	47	47	
30	512	512	 600	8	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	72	72	48	48	66	66	50	50	52	52	48	48	58	58	45	45	32	32	41	41	
31	459	459	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	61	61	45	45	36	36	43	43	55	55	44	44	51	51	45	45	35	35	44	44	
32	488	488	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	72	72	26	26	45	45	57	57	60	60	47	47	43	43	62	62	21	21	55	55	
33	443	443	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	52	52	51	51	35	35	34	34	50	50	40	40	57	57	44	44	34	34	46	46	
